2,Arrivano gli americani,Compra giocatori di prospettiva per far plusvlenze
3,Arrivano gli sceicchi,Spendi tutto il budget per vincere un trofeo
4,Presidente patriottico,Schierare in campo almeno 6 giocatori della propria nazione di appartenenza
5,Operazione rifondazione,Rifondare la squadra per imposizione societaria
7,Operazione giovanili,Schierare nella formazione almeno 3 giovani
8,Io sono il Condor!,Acquistare parametri 0 o vecchie glorie
9,Non spendo soldi per gli acquisti,Acquista giocatori tramite svincolati prestiti o scambi
10,Rispetta il passato,Acquista giocatori solo provenienti da nazioni a cui la societa' e' legata
12,Io sono Paratici,Acquista giocatori di prospettiva o dalle giovanili e rivendili per plusvalenze
13,Accetta tutte le offerte,Accetta ogni offerta che arriva
14,Operazione giovani,Acquista solo giocatori al di sotto dei 24 anni
15,Occhio alla perestrojka,Acquista solo giocatori dell'est Europa
17,Ti presento Giginho,Acquista solo giocatori sudamericani
18,Sono er figlio de Gaucci,Acquista giocatori o manda osservatori in paesi esotici
19,Suolo natio,Acquista solo giocatori della stessa nazione del campionato di appartenenza
20,Operazione RSA,Eta media squadra sopra i 30 anni
